Artikelnummer;Bestandseinheit;Produktkennung-Typ;Produktkennung-Wert;Produktkennung-Wert 2;Verfügbare Stückzahl;Käufe;Gebote;Preis;Start Date;Angebotsende;Zustand;Typ;Artikelbezeichnung;Name der Unterkategorie;Kategorienummer;Private Notizen;Website auf der ursprünglich eingestellt wurde;Download-Datum;Variantendetails;Produktreferenznummer;Zustands-ID;OutOfStockControl
122412619998;;;;;3;0;;"EUR 31,90";23.03.17;;Neu;9;"F1 2016 PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412636445;;;;;3;1;;"EUR 13,80";23.03.17;;Neu;9;"Castlevania: Lords of Shadow 2 PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345890360;;;;;0;3;;"EUR 7,10";24.03.17;;Neu;9;"Day of the Tentacle Remastered PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122460574738;;;;;3;0;;"EUR 1,60";23.04.17;;Neu;9;"FRONTIERS PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
121970233900;;;;;3;2;;"EUR 1,50";28.04.16;;Neu;9;"Tiny and Big: Grandpa's Leftovers PC spiel Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
121970233904;;;;;3;3;;"EUR 1,50";28.04.16;;Neu;9;"Vessel PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
111981605961;;;;;3;1;;"EUR 1,50";28.04.16;;Neu;9;"FATE: Undiscovered Realms PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
111981605962;;;;;3;0;;"EUR 1,50";28.04.16;;Neu;9;"Magnetic By Nature PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
121970233922;;;;;3;0;;"EUR 1,50";28.04.16;;Neu;9;"Mays Mysteries: The Secret of Dragonville PC Steam Digital Link EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
121970233918;;;;;3;0;;"EUR 4,50";28.04.16;;Neu;9;"Geneforge Saga PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
121970233926;;;;;3;0;;"EUR 1,50";28.04.16;;Neu;9;"Air Forte PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
121970233940;;;;;3;3;;"EUR 2,30";28.04.16;;Neu;9;"Frozen Synapse Prime PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
121970233944;;;;;3;0;;"EUR 2,50";28.04.16;;Neu;9;"The Book of Legends PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
121970233949;;;;;3;2;;"EUR 1,50";28.04.16;;Neu;9;"Last Dream PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
111981605983;;;;;3;2;;"EUR 1,50";28.04.16;;Neu;9;"Tail Drift PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
111981605991;;;;;3;2;;"EUR 1,50";28.04.16;;Neu;9;"Chicken Shoot Gold PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
111981605997;;;;;3;0;;"EUR 1,50";28.04.16;;Neu;9;"Selknam Defense PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
121970233982;;;;;2;1;;"EUR 1,50";28.04.16;;Neu;9;"The Witch's Yarn PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
121970233983;;;;;3;7;;"EUR 4,90";28.04.16;;Neu;9;"The Lost Crown PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
111981606005;;;;;3;0;;"EUR 1,50";28.04.16;;Neu;9;"Auditorium PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
111981606011;;;;;3;0;;"EUR 1,50";28.04.16;;Neu;9;"Motorama PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
